"metric","count","exact","withinTolerance","outsideTolerance","nullPairs","maxAbs","maxRelative"
"geometry.feasibleRpms","378","378","378","0","0","0","0"
"geometry.longestGridRun","275","275","275","0","275","0","0"
"geometry.discreteRuns","378","378","378","0","0","0","0"
"geometry.rejectionCounts.ACTUAL_LOADING_EXCEEDS_DESIGN_FLOOD_FRACTION","378","378","378","0","0","0","0"
"geometry.rejectionCounts.NO_DILUTE_CONNECTED_ROOT","378","378","378","0","0","0","0"
"geometry.longestGridRun.edgeMarginRpm","103","103","103","0","0","0","0"
"geometry.longestGridRun.rpmMax","103","103","103","0","0","0","0"
"geometry.longestGridRun.rpmMin","103","103","103","0","0","0","0"
"geometry.longestGridRun.validTrialCount","103","103","103","0","0","0","0"
"geometry.longestGridRun.widthRpm","103","103","103","0","0","0","0"
"diameter.unionFeasibleRpms","14","14","14","0","0","0","0"
